chr	start	end	CpG	2-O_S1_R1_001-N	2-O_S1_R1_001-X	2-R_S2_R1_001-N	2-R_S2_R1_001-X	4-LL_S4_R1_001-N	4-LL_S4_R1_001-X	4-L_S3_R1_001-N	4-L_S3_R1_001-X	5-O_S2_R1_001-N	5-O_S2_R1_001-X	5-RR_S8_R1_001-N	5-RR_S8_R1_001-X	5-R_S7_R1_001-N	5-R_S7_R1_001-X	6-LL_S6_R1_001-N	6-LL_S6_R1_001-X	6-L_S5_R1_001-N	6-L_S5_R1_001-X	7-L_S1_R1_001-N	7-L_S1_R1_001-X
chr12	70825775	70825854	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	2	NA	NA	NA	NA
chr12	70862102	70862236	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29	27	NA	NA	NA	NA	NA	NA	46	46
chr12	70993370	70993500	8	NA	NA	NA	NA	NA	NA	NA	NA	22	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	71010105	71010276	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	22	NA	NA	NA	NA
chr12	71021710	71021791	6	NA	NA	NA	NA	25	24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	71087624	71087764	11	NA	NA	25	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	71211970	71212187	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	4	NA	NA	NA	NA	NA	NA	NA	NA
chr12	71213140	71213321	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31	16
chr12	71328470	71328603	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	10	NA	NA
chr12	71328773	71328906	9	NA	NA	NA	NA	NA	NA	30	17	NA	NA	20	13	NA	NA	NA	NA	NA	NA	NA	NA
chr12	71926925	71926968	7	NA	NA	21	10	NA	NA	NA	NA	NA	NA	NA	NA	21	6	NA	NA	NA	NA	NA	NA
chr12	72000326	72000526	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	21	NA	NA	NA	NA	NA	NA
chr12	72024810	72024849	5	23	22	NA	NA	NA	NA	23	20	NA	NA	NA	NA	NA	NA	NA	NA	28	28	NA	NA
chr12	72069461	72069496	6	NA	NA	NA	NA	22	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	72075635	72075829	17	NA	NA	NA	NA	36	3	NA	NA	NA	NA	NA	NA	21	0	28	16	NA	NA	NA	NA
chr12	72075994	72076076	9	NA	NA	NA	NA	31	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	72170971	72171073	8	NA	NA	NA	NA	NA	NA	37	33	NA	NA	NA	NA	21	21	NA	NA	NA	NA	NA	NA
chr12	72238081	72238122	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	0	NA	NA
chr12	72238799	72239065	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	4	NA	NA	NA	NA	NA	NA	NA	NA
chr12	72419632	72419760	11	NA	NA	NA	NA	NA	NA	NA	NA	21	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	72932680	72932800	12	NA	NA	NA	NA	NA	NA	NA	NA	55	26	NA	NA	NA	NA	34	10	NA	NA	NA	NA
chr12	72932987	72933226	12	NA	NA	NA	NA	41	7	NA	NA	NA	NA	23	7	23	7	NA	NA	NA	NA	NA	NA
chr12	73171151	73171200	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33	6	NA	NA
chr12	73171567	73171918	27	44	14	22	13	31	11	NA	NA	NA	NA	42	16	71	32	30	14	21	19	NA	NA
chr12	73183645	73183698	7	21	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	73186288	73186359	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	0	NA	NA
chr12	73337326	73337561	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29	11	NA	NA	25	15	NA	NA	NA	NA
chr12	73337875	73337922	7	NA	NA	NA	NA	NA	NA	NA	NA	47	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	73509337	73509506	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	39	12
chr12	73765055	73765129	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	3	NA	NA	NA	NA	NA	NA	NA	NA
chr12	73766029	73766293	12	NA	NA	NA	NA	22	3	NA	NA	NA	NA	NA	NA	34	9	21	0	NA	NA	NA	NA
chr12	73955547	73955606	5	NA	NA	NA	NA	23	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	74136758	74136914	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	5
chr12	74145638	74145687	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	14
chr12	74146472	74146736	19	NA	NA	NA	NA	24	9	22	4	24	5	NA	NA	28	16	31	7	NA	NA	NA	NA
chr12	74147041	74147112	10	NA	NA	NA	NA	NA	NA	NA	NA	39	10	NA	NA	NA	NA	NA	NA	NA	NA	26	0
chr12	74147359	74147503	13	NA	NA	NA	NA	NA	NA	33	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	74154859	74154910	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	12	NA	NA	NA	NA	NA	NA	NA	NA
chr12	74204848	74204948	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	11	NA	NA	NA	NA	NA	NA
chr12	74213346	74213372	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	0	NA	NA	NA	NA
chr12	74224634	74224709	9	NA	NA	NA	NA	NA	NA	24	2	22	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	74387524	74387780	18	NA	NA	28	4	28	6	NA	NA	NA	NA	NA	NA	34	9	27	11	NA	NA	NA	NA
chr12	74646276	74646369	9	NA	NA	NA	NA	20	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	74646539	74646749	23	34	17	NA	NA	NA	NA	77	25	38	12	31	11	21	4	38	22	NA	NA	NA	NA
chr12	74647005	74647070	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	6	NA	NA	NA	NA
chr12	74675837	74675944	8	21	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	11
chr12	74686286	74686386	9	NA	NA	NA	NA	NA	NA	26	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	75050637	75050807	16	NA	NA	NA	NA	48	20	NA	NA	NA	NA	32	1	NA	NA	24	8	NA	NA	32	1
chr12	75110420	75110565	6	NA	NA	25	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	75385088	75385234	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	13	NA	NA
chr12	75418044	75418163	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	11	NA	NA	NA	NA	NA	NA	NA	NA
chr12	76836118	76836248	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	5	NA	NA
chr12	76919576	76919637	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	10
chr12	76937619	76937681	5	NA	NA	NA	NA	NA	NA	NA	NA	24	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	77253295	77253653	23	22	11	NA	NA	42	14	47	17	26	5	45	20	29	9	NA	NA	23	1	NA	NA
chr12	77356060	77356428	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47	23	NA	NA	NA	NA	NA	NA
chr12	77393754	77393979	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	22	NA	NA	NA	NA	NA	NA
chr12	77470974	77471066	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	0	22	5	NA	NA	NA	NA	NA	NA
chr12	77505530	77505778	21	NA	NA	NA	NA	43	16	NA	NA	31	5	38	16	NA	NA	NA	NA	NA	NA	NA	NA
chr12	77506683	77506868	11	NA	NA	NA	NA	32	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	77539926	77539968	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36	35	NA	NA	NA	NA
chr12	77636549	77636602	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	16	NA	NA
chr12	77810406	77810558	10	NA	NA	NA	NA	NA	NA	25	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	78062925	78063086	15	NA	NA	39	4	27	5	23	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32	3
chr12	78063202	78063393	19	24	17	30	8	35	7	NA	NA	NA	NA	NA	NA	30	2	NA	NA	28	21	NA	NA
chr12	78063751	78063812	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	14	NA	NA
chr12	78312746	78312801	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	14	NA	NA	NA	NA
chr12	79451894	79452127	9	NA	NA	NA	NA	NA	NA	27	24	NA	NA	NA	NA	25	19	NA	NA	NA	NA	NA	NA
chr12	79962683	79962731	7	NA	NA	NA	NA	21	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	80007828	80007922	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52	8	NA	NA	25	7	NA	NA
chr12	80273562	80273586	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	13	NA	NA	NA	NA	NA	NA	NA	NA
chr12	80292771	80292929	9	NA	NA	22	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	6	NA	NA
chr12	80397265	80397483	9	NA	NA	NA	NA	NA	NA	24	5	20	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	80398931	80398983	5	35	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	81212546	81212590	4	20	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	81213315	81213482	9	NA	NA	NA	NA	NA	NA	NA	NA	26	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	81214980	81215119	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	5	NA	NA
chr12	81269377	81269511	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	17	NA	NA	NA	NA	NA	NA
chr12	81269723	81269984	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36	24	26	20	21	17	NA	NA	NA	NA
chr12	81360325	81360502	10	NA	NA	NA	NA	25	0	NA	NA	NA	NA	30	14	NA	NA	NA	NA	NA	NA	NA	NA
chr12	81745547	81745721	12	26	6	NA	NA	NA	NA	29	8	34	0	NA	NA	NA	NA	22	3	NA	NA	NA	NA
chr12	81793889	81793930	9	NA	NA	NA	NA	23	0	NA	NA	NA	NA	24	5	NA	NA	NA	NA	NA	NA	NA	NA
chr12	81996378	81996529	9	NA	NA	34	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	82047527	82047740	9	NA	NA	NA	NA	NA	NA	20	10	NA	NA	NA	NA	25	5	36	17	24	10	NA	NA
chr12	82067203	82067401	7	NA	NA	NA	NA	NA	NA	23	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	82269188	82269319	6	NA	NA	NA	NA	24	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	82433628	82433895	23	NA	NA	31	15	NA	NA	NA	NA	NA	NA	59	16	NA	NA	NA	NA	NA	NA	NA	NA
chr12	82434244	82434362	10	NA	NA	NA	NA	32	7	NA	NA	NA	NA	NA	NA	NA	NA	38	4	NA	NA	27	0
chr12	82473465	82473533	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	24	NA	NA	NA	NA
chr12	82695658	82696074	23	NA	NA	26	10	NA	NA	31	0	22	6	NA	NA	22	0	NA	NA	23	2	NA	NA
chr12	82732153	82732196	7	NA	NA	NA	NA	NA	NA	NA	NA	21	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	82732335	82732389	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52	5	NA	NA	NA	NA	NA	NA
chr12	82764498	82764533	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	20	NA	NA	NA	NA	NA	NA	NA	NA
chr12	82820809	82821114	9	NA	NA	NA	NA	22	18	24	24	NA	NA	23	21	NA	NA	NA	NA	NA	NA	NA	NA
chr12	82881685	82881729	8	NA	NA	NA	NA	NA	NA	24	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	82961487	82961550	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	19	NA	NA	NA	NA	NA	NA
chr12	83271209	83271268	12	NA	NA	NA	NA	41	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	84430267	84430416	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	25	NA	NA	NA	NA	NA	NA
chr12	84825746	84826041	9	NA	NA	NA	NA	NA	NA	NA	NA	23	16	22	12	20	16	NA	NA	NA	NA	NA	NA
chr12	84827301	84827570	19	25	6	NA	NA	NA	NA	38	11	NA	NA	20	7	35	9	23	0	33	5	34	14
chr12	84961667	84961946	12	NA	NA	25	23	23	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	85028939	85029407	30	NA	NA	NA	NA	NA	NA	NA	NA	42	25	NA	NA	21	15	29	10	NA	NA	43	11
chr12	85112759	85112812	7	21	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	85292281	85292331	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	8	NA	NA
chr12	85328957	85329094	15	36	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	10	NA	NA	NA	NA
chr12	85329310	85329401	15	NA	NA	NA	NA	32	21	39	4	NA	NA	33	0	31	6	NA	NA	22	12	33	8
chr12	85350733	85350867	19	NA	NA	20	1	47	10	NA	NA	NA	NA	NA	NA	50	15	36	15	25	6	48	15
chr12	85379722	85379839	12	NA	NA	22	3	NA	NA	NA	NA	NA	NA	32	13	26	7	22	8	NA	NA	NA	NA
chr12	85394407	85394554	16	NA	NA	NA	NA	34	7	29	4	55	17	23	6	NA	NA	NA	NA	21	5	NA	NA
chr12	85394776	85394830	8	NA	NA	22	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	85403516	85403622	8	20	20	NA	NA	31	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	85410704	85410926	27	NA	NA	33	27	43	15	47	15	34	2	24	0	54	19	78	21	25	17	NA	NA
chr12	85442227	85442408	20	48	6	21	14	22	1	NA	NA	34	11	NA	NA	32	4	NA	NA	36	14	NA	NA
chr12	85489399	85489431	8	NA	NA	NA	NA	24	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	85702575	85702754	7	NA	NA	NA	NA	21	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	85702929	85703066	6	22	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	85750087	85750139	5	NA	NA	20	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	85931194	85931257	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	3	NA	NA	NA	NA	NA	NA	NA	NA
chr12	86114125	86114337	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	2	NA	NA	NA	NA	NA	NA	NA	NA
chr12	86114850	86114966	6	NA	NA	NA	NA	20	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	86217356	86217408	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	0
chr12	86284266	86284417	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	20	NA	NA	NA	NA
chr12	86311529	86311799	16	20	3	NA	NA	22	1	NA	NA	NA	NA	NA	NA	40	8	NA	NA	NA	NA	NA	NA
chr12	86480890	86480985	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	16	NA	NA
chr12	86557727	86558200	27	39	33	44	41	28	27	54	50	55	49	22	22	50	48	23	23	39	35	30	30
chr12	86611515	86611730	20	NA	NA	20	13	24	11	76	9	21	4	60	24	37	23	44	14	36	13	58	24
chr12	86715675	86715842	10	25	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	86716386	86716417	4	NA	NA	NA	NA	20	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	86812832	86812882	3	NA	NA	21	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	86827286	86827400	8	NA	NA	25	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	86939072	86939158	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	22	NA	NA	26	23	NA	NA	NA	NA
chr12	87552074	87552185	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	0
chr12	87561856	87561903	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	4	NA	NA	NA	NA	NA	NA
chr12	87728678	87728811	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	23	NA	NA	NA	NA	NA	NA	NA	NA
chr12	87743855	87743946	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	6	NA	NA	NA	NA	NA	NA
chr12	87888601	87888755	8	NA	NA	NA	NA	NA	NA	28	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	88102137	88102213	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	22	NA	NA
chr12	88109076	88109255	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	6
chr12	88177926	88178047	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	11	NA	NA	NA	NA	NA	NA	NA	NA
chr12	88208392	88208562	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	17	NA	NA	NA	NA
chr12	88223162	88223230	6	NA	NA	22	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	88223768	88223820	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	10
chr12	88225201	88225261	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	3	NA	NA
chr12	88225454	88225539	12	NA	NA	NA	NA	NA	NA	22	3	45	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	88225779	88225883	9	NA	NA	NA	NA	23	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	88232907	88232970	6	NA	NA	NA	NA	24	6	NA	NA	NA	NA	NA	NA	NA	NA	21	11	NA	NA	NA	NA
chr12	88443095	88443238	8	NA	NA	NA	NA	22	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	88487770	88488068	13	20	11	24	6	NA	NA	22	6	NA	NA	21	4	24	6	25	5	NA	NA	26	1
chr12	88640401	88640475	9	NA	NA	34	13	33	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	14	NA	NA
chr12	88729055	88729167	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36	21	36	25	NA	NA	NA	NA
chr12	88729771	88729807	7	NA	NA	NA	NA	NA	NA	21	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	88785197	88785346	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	4	NA	NA	NA	NA	NA	NA	NA	NA
chr12	88878749	88879093	11	30	28	NA	NA	45	40	24	21	NA	NA	25	24	NA	NA	NA	NA	24	21	23	20
chr12	89102092	89102125	4	NA	NA	NA	NA	23	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	89226545	89226867	10	44	40	58	49	42	38	33	27	50	39	42	39	42	37	49	33	46	43	38	32
chr12	89369632	89369857	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	26	20	19	NA	NA	NA	NA	NA	NA
chr12	89464299	89464492	10	47	40	69	61	69	62	41	36	35	35	50	43	25	22	21	17	26	24	42	41
chr12	89546743	89546995	9	31	27	26	25	40	33	NA	NA	30	27	27	25	33	27	23	19	50	39	33	29
chr12	91553254	91553266	5	NA	NA	NA	NA	NA	NA	NA	NA	25	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	92577278	92577628	16	NA	NA	NA	NA	34	32	NA	NA	NA	NA	NA	NA	NA	NA	22	21	20	20	NA	NA
chr12	92622783	92622872	11	29	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	92885873	92885932	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	20	NA	NA
chr12	92886044	92886359	14	NA	NA	NA	NA	33	33	NA	NA	23	23	23	22	NA	NA	NA	NA	NA	NA	NA	NA
chr12	93016879	93017078	10	NA	NA	NA	NA	21	12	NA	NA	NA	NA	23	5	NA	NA	NA	NA	NA	NA	NA	NA
chr12	93087747	93088015	12	NA	NA	NA	NA	20	8	22	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	94556038	94556110	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	18	NA	NA	NA	NA	NA	NA	NA	NA
chr12	96823750	96823871	11	101	93	71	69	96	94	135	127	72	68	121	117	108	100	43	39	99	96	136	129
chr12	96933418	96933459	6	NA	NA	30	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	99975469	99975567	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	3	NA	NA	NA	NA	NA	NA
chr12	99976525	99976828	8	NA	NA	NA	NA	NA	NA	NA	NA	27	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	99985602	99985632	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34	14	NA	NA	NA	NA	NA	NA
chr12	100335902	100336009	6	28	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	100567670	100567877	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	13	NA	NA	NA	NA	NA	NA	NA	NA
chr12	100625563	100625579	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	20	NA	NA
chr12	100664648	100664827	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	18	NA	NA	27	24	NA	NA
chr12	100883245	100883356	11	28	16	NA	NA	23	18	NA	NA	NA	NA	NA	NA	NA	NA	26	24	NA	NA	NA	NA
chr12	100885443	100885556	6	NA	NA	NA	NA	31	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	101348204	101348354	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35	16	21	1	NA	NA	NA	NA	NA	NA
chr12	101437497	101437644	15	27	11	23	5	29	10	NA	NA	NA	NA	NA	NA	31	9	NA	NA	60	17	NA	NA
chr12	101773540	101773579	5	NA	NA	NA	NA	NA	NA	20	19	22	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	102117138	102117253	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	23	NA	NA
chr12	102126249	102126262	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	0	NA	NA	NA	NA	NA	NA	NA	NA
chr12	102137180	102137402	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	9	NA	NA	NA	NA
chr12	102265948	102266012	5	NA	NA	NA	NA	NA	NA	NA	NA	21	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	102321016	102321099	13	NA	NA	NA	NA	NA	NA	41	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	103056529	103056659	6	NA	NA	NA	NA	27	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	103195977	103196192	18	51	22	NA	NA	28	2	NA	NA	29	9	NA	NA	25	13	NA	NA	22	5	NA	NA
chr12	103214960	103215254	12	NA	NA	NA	NA	NA	NA	34	2	NA	NA	NA	NA	NA	NA	NA	NA	25	4	NA	NA
chr12	103366119	103366234	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	12	NA	NA
chr12	103367399	103367565	12	20	2	NA	NA	35	4	NA	NA	20	4	25	11	NA	NA	NA	NA	NA	NA	22	8
chr12	103680874	103680898	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	21	NA	NA	NA	NA	NA	NA	NA	NA
chr12	103942534	103942574	6	NA	NA	NA	NA	30	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr12	103951540	103951843	14	NA	NA	27	22	31	22	31	24	NA	NA	21	17	NA	NA	23	18	NA	NA	NA	NA
chr12	103981899	103982095	17	NA	NA	NA	NA	39	8	31	12	NA	NA	22	2	NA	NA	NA	NA	NA	NA	NA	NA
chr12	103995363	103995558	11	NA	NA	NA	NA	NA	NA	22	8	NA	NA	23	0	NA	NA	NA	NA	32	0	NA	NA
chr12	103995993	103996156	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32	11	NA	NA	NA	NA	NA	NA
