chr	start	end	CpG	WJ1-N	WJ1-X	WJ2-N	WJ2-X	WJ3-N	WJ3-X	WJ5-N	WJ5-X	WJ7-N	WJ7-X
chr14	8320456	8320515	5	NA	NA	NA	NA	NA	NA	21	4	NA	NA
chr14	8320618	8320683	6	NA	NA	NA	NA	22	8	24	5	NA	NA
chr14	8320922	8321031	7	NA	NA	NA	NA	20	4	NA	NA	NA	NA
chr14	8321344	8321546	12	67	26	82	28	75	27	57	20	71	39
chr14	8400580	8400844	15	20	6	48	14	NA	NA	35	12	NA	NA
chr14	8489940	8490016	5	NA	NA	25	7	22	3	25	3	NA	NA
chr14	8490685	8490892	12	27	13	NA	NA	NA	NA	39	14	31	6
chr14	8491475	8491629	6	NA	NA	24	8	NA	NA	NA	NA	31	8
chr14	8650376	8650411	5	NA	NA	20	5	NA	NA	NA	NA	NA	NA
chr14	9005383	9005421	5	NA	NA	NA	NA	NA	NA	NA	NA	24	7
chr14	9119264	9119346	4	52	42	59	49	71	63	61	50	56	50
chr14	9189624	9189690	5	22	12	NA	NA	NA	NA	NA	NA	NA	NA
chr14	12386160	12386263	9	NA	NA	28	14	23	6	NA	NA	NA	NA
chr14	13243109	13243151	4	NA	NA	20	10	NA	NA	NA	NA	NA	NA
chr14	19874623	19874661	5	25	0	NA	NA	NA	NA	NA	NA	NA	NA
chr14	20403563	20403582	3	25	14	NA	NA	28	7	30	15	NA	NA
chr14	20403840	20403982	11	NA	NA	60	21	38	11	34	8	21	9
chr14	20404331	20404407	11	NA	NA	27	15	NA	NA	26	6	24	10
chr14	21212970	21213054	10	NA	NA	NA	NA	NA	NA	NA	NA	39	15
chr14	21514129	21514196	9	NA	NA	NA	NA	NA	NA	NA	NA	27	19
chr14	21612355	21612544	15	NA	NA	25	0	NA	NA	NA	NA	NA	NA
chr14	21656075	21656123	4	NA	NA	NA	NA	NA	NA	NA	NA	20	0
chr14	21675393	21675728	16	NA	NA	33	32	56	55	50	49	57	52
chr14	21749385	21749539	6	NA	NA	NA	NA	NA	NA	NA	NA	22	3
chr14	22632033	22632076	5	NA	NA	NA	NA	20	0	NA	NA	NA	NA
chr14	22808790	22808832	9	NA	NA	NA	NA	34	8	NA	NA	NA	NA
chr14	22814688	22814732	7	21	0	NA	NA	NA	NA	NA	NA	NA	NA
chr14	24824080	24824150	10	NA	NA	NA	NA	NA	NA	NA	NA	30	15
chr14	26651746	26651901	8	NA	NA	21	6	NA	NA	NA	NA	NA	NA
chr14	27354193	27354248	7	NA	NA	22	0	NA	NA	NA	NA	NA	NA
chr14	27804852	27804898	10	NA	NA	27	22	29	24	NA	NA	NA	NA
chr14	30950103	30950145	3	22	17	NA	NA	NA	NA	NA	NA	NA	NA
chr14	31439337	31439388	11	33	0	NA	NA	NA	NA	NA	NA	NA	NA
chr14	31764534	31764596	7	NA	NA	21	14	NA	NA	NA	NA	NA	NA
chr14	31814591	31814729	12	23	5	NA	NA	NA	NA	NA	NA	NA	NA
chr14	31942021	31942114	10	NA	NA	23	10	30	7	NA	NA	NA	NA
chr14	32643930	32643976	9	NA	NA	NA	NA	NA	NA	NA	NA	27	19
chr14	34018700	34018884	13	42	17	NA	NA	NA	NA	NA	NA	NA	NA
chr14	34132735	34132786	7	25	0	NA	NA	NA	NA	NA	NA	NA	NA
chr14	35316401	35316499	11	NA	NA	NA	NA	31	7	NA	NA	NA	NA
chr14	35486898	35486941	5	23	3	NA	NA	NA	NA	NA	NA	NA	NA
chr14	35582297	35582377	6	NA	NA	NA	NA	NA	NA	NA	NA	20	2
chr14	35632666	35632763	9	NA	NA	NA	NA	31	16	NA	NA	NA	NA
chr14	41826902	41827164	16	NA	NA	21	0	47	9	NA	NA	NA	NA
chr14	44390254	44390328	4	NA	NA	NA	NA	NA	NA	20	9	NA	NA
chr14	44502848	44503011	7	NA	NA	22	3	NA	NA	NA	NA	22	1
chr14	44877544	44877608	6	23	21	NA	NA	NA	NA	NA	NA	NA	NA
chr14	45478804	45478940	9	23	6	NA	NA	NA	NA	NA	NA	NA	NA
chr14	45840571	45840629	5	NA	NA	NA	NA	NA	NA	NA	NA	24	0
chr14	46149329	46149416	18	35	5	50	19	52	18	NA	NA	28	7
chr14	46276791	46276876	13	NA	NA	43	9	NA	NA	NA	NA	NA	NA
chr14	46538921	46539130	8	NA	NA	NA	NA	29	29	NA	NA	NA	NA
chr14	47441569	47441841	19	NA	NA	NA	NA	49	14	NA	NA	NA	NA
chr14	48003786	48003897	6	NA	NA	NA	NA	27	27	NA	NA	NA	NA
chr14	48254294	48254334	4	NA	NA	NA	NA	20	0	NA	NA	NA	NA
chr14	49065750	49065812	6	38	0	NA	NA	NA	NA	NA	NA	NA	NA
chr14	51550137	51550244	8	NA	NA	NA	NA	21	8	NA	NA	NA	NA
chr14	52358282	52358419	6	NA	NA	20	6	NA	NA	NA	NA	NA	NA
chr14	53983639	53983835	5	20	11	NA	NA	NA	NA	NA	NA	NA	NA
chr14	54873203	54873266	7	NA	NA	36	13	NA	NA	NA	NA	NA	NA
chr14	55260417	55260633	13	29	15	NA	NA	NA	NA	20	1	NA	NA
chr14	55483255	55483305	6	NA	NA	NA	NA	NA	NA	NA	NA	20	1
chr14	55634175	55634227	5	NA	NA	NA	NA	NA	NA	NA	NA	21	1
chr14	56379120	56379194	5	34	5	32	7	21	7	NA	NA	51	20
chr14	56387889	56387957	5	NA	NA	NA	NA	21	21	NA	NA	NA	NA
chr14	56472894	56472957	10	NA	NA	NA	NA	NA	NA	30	21	NA	NA
chr14	56519038	56519145	9	32	29	NA	NA	NA	NA	NA	NA	NA	NA
chr14	56984121	56984177	6	NA	NA	20	16	36	29	NA	NA	NA	NA
chr14	57505106	57505162	8	NA	NA	24	0	NA	NA	NA	NA	NA	NA
chr14	58159475	58159535	5	NA	NA	21	20	NA	NA	NA	NA	NA	NA
chr14	58444762	58444859	12	33	2	46	21	NA	NA	NA	NA	20	9
chr14	58444998	58445154	12	NA	NA	NA	NA	NA	NA	NA	NA	27	12
chr14	59512457	59512516	9	NA	NA	NA	NA	NA	NA	27	24	NA	NA
chr14	60217185	60217229	6	NA	NA	22	11	NA	NA	NA	NA	NA	NA
chr14	61664917	61665019	6	NA	NA	20	8	NA	NA	NA	NA	NA	NA
chr14	62058634	62058693	13	52	0	NA	NA	NA	NA	NA	NA	NA	NA
chr14	62266682	62266865	8	NA	NA	NA	NA	22	1	27	2	NA	NA
chr14	63380476	63380750	15	NA	NA	47	2	NA	NA	NA	NA	NA	NA
chr14	65789123	65789209	8	NA	NA	NA	NA	NA	NA	NA	NA	32	28
chr14	65963163	65963184	3	NA	NA	NA	NA	NA	NA	NA	NA	21	1
chr14	66211867	66211925	8	NA	NA	25	0	NA	NA	NA	NA	NA	NA
chr14	66572317	66572381	7	NA	NA	NA	NA	NA	NA	NA	NA	22	12
chr14	67807269	67807397	7	30	9	NA	NA	NA	NA	NA	NA	NA	NA
chr14	69300179	69300224	3	NA	NA	NA	NA	NA	NA	20	17	NA	NA
chr14	70499764	70499819	6	NA	NA	22	12	NA	NA	NA	NA	NA	NA
chr14	70581052	70581105	7	21	0	NA	NA	NA	NA	NA	NA	NA	NA
chr14	70605688	70605737	6	30	20	NA	NA	NA	NA	NA	NA	NA	NA
chr14	70675616	70675628	7	21	21	NA	NA	NA	NA	NA	NA	NA	NA
chr14	70977425	70977471	7	NA	NA	NA	NA	NA	NA	NA	NA	28	0
chr14	71074238	71074296	6	NA	NA	36	36	NA	NA	NA	NA	NA	NA
chr14	71166858	71166918	5	NA	NA	NA	NA	20	0	NA	NA	NA	NA
chr14	73002762	73002828	5	NA	NA	24	2	29	6	NA	NA	NA	NA
chr14	76510488	76510611	9	NA	NA	NA	NA	38	16	NA	NA	NA	NA
chr14	76813867	76813942	6	NA	NA	24	12	NA	NA	NA	NA	NA	NA
chr14	79125672	79126113	17	28	28	35	33	30	27	51	42	39	36
chr14	79126257	79126414	7	23	22	NA	NA	NA	NA	NA	NA	NA	NA
chr14	79130723	79131192	13	34	20	35	29	49	37	37	27	40	25
chr14	79131269	79131697	18	55	16	64	16	50	16	57	12	51	13
chr14	79132023	79132209	15	NA	NA	39	13	NA	NA	32	8	28	3
chr14	79133306	79133488	6	NA	NA	21	15	NA	NA	NA	NA	NA	NA
chr14	80173746	80173807	6	NA	NA	24	20	NA	NA	NA	NA	NA	NA
chr14	99920834	99921028	11	NA	NA	NA	NA	34	32	NA	NA	NA	NA
chr14	100683236	100683295	9	36	21	NA	NA	NA	NA	NA	NA	NA	NA
chr14	101396142	101396152	6	NA	NA	NA	NA	NA	NA	30	29	NA	NA
chr14	102318482	102318544	5	NA	NA	NA	NA	27	23	NA	NA	NA	NA
chr14	103381559	103381705	16	NA	NA	48	21	NA	NA	NA	NA	NA	NA
chr14	103745588	103745639	8	24	0	NA	NA	NA	NA	NA	NA	36	5
chr14	113180389	113180407	8	NA	NA	NA	NA	24	20	NA	NA	NA	NA
chr14	115441530	115441590	7	NA	NA	NA	NA	NA	NA	NA	NA	21	9
chr14	118531856	118531982	13	22	4	41	12	NA	NA	24	5	21	7
chr14	118574565	118574605	11	NA	NA	33	33	NA	NA	NA	NA	NA	NA
chr14	118933322	118933362	7	NA	NA	NA	NA	NA	NA	22	22	NA	NA
chr14	118950964	118951066	9	NA	NA	NA	NA	NA	NA	34	29	NA	NA
chr14	119167612	119167789	9	NA	NA	NA	NA	24	17	NA	NA	NA	NA
chr14	119406964	119407021	4	23	4	NA	NA	NA	NA	NA	NA	NA	NA
chr14	119537760	119537805	8	NA	NA	27	22	NA	NA	NA	NA	NA	NA
chr14	120457713	120457948	16	35	34	36	30	24	22	26	26	33	32
chr14	121850222	121850361	9	NA	NA	24	8	NA	NA	21	9	NA	NA
chr14	122195708	122195853	10	NA	NA	NA	NA	NA	NA	22	19	21	17
chr14	122506123	122506154	7	NA	NA	NA	NA	21	5	NA	NA	NA	NA
chr14	122805827	122805887	6	NA	NA	NA	NA	20	18	NA	NA	NA	NA
chr14	122874098	122874157	9	NA	NA	NA	NA	NA	NA	NA	NA	27	12
chr15	10966353	10966508	10	21	5	NA	NA	NA	NA	NA	NA	NA	NA
chr15	11834866	11834926	9	NA	NA	NA	NA	33	5	NA	NA	NA	NA
chr15	12047277	12047383	13	NA	NA	26	15	NA	NA	30	18	32	8
chr15	12110772	12111002	6	NA	NA	NA	NA	20	19	NA	NA	NA	NA
chr15	12669224	12669395	9	NA	NA	NA	NA	NA	NA	27	12	NA	NA
chr15	12802861	12803120	5	26	23	32	26	30	28	32	27	23	22
chr15	25342309	25342408	8	NA	NA	23	0	NA	NA	NA	NA	NA	NA
chr15	25344664	25344764	6	NA	NA	21	4	NA	NA	NA	NA	NA	NA
chr15	25553046	25553091	8	NA	NA	NA	NA	32	0	NA	NA	NA	NA
chr15	25711303	25711559	15	NA	NA	NA	NA	NA	NA	NA	NA	42	42
chr15	27396845	27396916	12	NA	NA	42	23	NA	NA	NA	NA	NA	NA
chr15	27954299	27954345	7	21	0	NA	NA	NA	NA	NA	NA	NA	NA
chr15	27988366	27988556	10	NA	NA	NA	NA	37	34	NA	NA	NA	NA
chr15	31383313	31383372	9	NA	NA	NA	NA	36	0	NA	NA	NA	NA
chr15	32174699	32174742	5	NA	NA	NA	NA	NA	NA	20	16	NA	NA
chr15	32708596	32708645	6	NA	NA	NA	NA	24	16	NA	NA	NA	NA
chr15	32708949	32709010	7	NA	NA	NA	NA	NA	NA	28	17	21	6
chr15	34372907	34372969	6	NA	NA	NA	NA	NA	NA	24	0	23	0
chr15	34425046	34425089	7	NA	NA	NA	NA	21	0	NA	NA	NA	NA
chr15	34425470	34425585	6	NA	NA	NA	NA	NA	NA	NA	NA	28	3
chr15	35226432	35226629	12	NA	NA	NA	NA	NA	NA	20	5	NA	NA
chr15	36103583	36103735	7	NA	NA	NA	NA	NA	NA	28	13	NA	NA
chr15	36212810	36212870	9	NA	NA	NA	NA	NA	NA	NA	NA	35	13
chr15	36538187	36538279	10	NA	NA	NA	NA	NA	NA	NA	NA	40	0
chr15	36538496	36538535	8	NA	NA	44	1	NA	NA	39	3	26	0
chr15	36539661	36539707	4	NA	NA	22	2	NA	NA	NA	NA	NA	NA
chr15	36645717	36645761	7	NA	NA	22	9	NA	NA	NA	NA	NA	NA
chr15	36724212	36724297	6	21	0	NA	NA	NA	NA	NA	NA	NA	NA
chr15	37106241	37106320	6	NA	NA	23	22	NA	NA	NA	NA	NA	NA
chr15	38403255	38403317	7	NA	NA	26	2	NA	NA	NA	NA	NA	NA
chr15	38433575	38433587	6	NA	NA	24	24	NA	NA	NA	NA	NA	NA
chr15	38448654	38448712	7	NA	NA	NA	NA	28	0	NA	NA	NA	NA
chr15	38449084	38449142	9	27	0	NA	NA	NA	NA	NA	NA	NA	NA
chr15	38497150	38497173	3	NA	NA	NA	NA	NA	NA	24	9	NA	NA
chr15	38631072	38631154	7	NA	NA	NA	NA	NA	NA	21	21	NA	NA
chr15	38892862	38893193	11	NA	NA	25	22	22	20	20	20	24	22
chr15	38912904	38912959	7	21	15	NA	NA	NA	NA	NA	NA	NA	NA
chr15	39775283	39775331	11	NA	NA	NA	NA	NA	NA	43	27	NA	NA
chr15	43113883	43113923	6	23	13	NA	NA	NA	NA	NA	NA	NA	NA
chr15	51660456	51660779	10	NA	NA	29	29	NA	NA	32	31	28	25
chr15	51696806	51696863	7	NA	NA	21	11	NA	NA	NA	NA	NA	NA
chr15	53177158	53177444	16	NA	NA	NA	NA	38	2	NA	NA	31	4
chr15	55138003	55138069	9	NA	NA	NA	NA	NA	NA	NA	NA	27	14
chr15	55388846	55388898	7	NA	NA	21	1	NA	NA	NA	NA	NA	NA
chr15	57524958	57525014	4	NA	NA	NA	NA	22	12	NA	NA	NA	NA
chr15	57592727	57592735	3	21	21	NA	NA	NA	NA	NA	NA	NA	NA
chr15	57907813	57907880	8	NA	NA	NA	NA	NA	NA	28	8	NA	NA
chr15	57966778	57966969	16	NA	NA	39	2	40	11	23	15	NA	NA
chr15	58765210	58765338	9	NA	NA	NA	NA	NA	NA	NA	NA	25	3
chr15	58831175	58831263	5	NA	NA	NA	NA	NA	NA	NA	NA	20	19
chr15	58913201	58913334	10	NA	NA	NA	NA	NA	NA	NA	NA	34	15
chr15	59479051	59479116	7	NA	NA	NA	NA	NA	NA	NA	NA	39	4
chr15	60858199	60858282	6	NA	NA	NA	NA	NA	NA	NA	NA	24	24
chr15	61816107	61816142	5	NA	NA	NA	NA	NA	NA	NA	NA	20	9
chr15	63829618	63829674	7	NA	NA	NA	NA	26	2	NA	NA	NA	NA
chr15	63835567	63835622	5	23	23	NA	NA	NA	NA	NA	NA	NA	NA
chr15	64754204	64754246	5	NA	NA	NA	NA	33	15	NA	NA	NA	NA
chr15	66129173	66129244	3	20	5	NA	NA	NA	NA	NA	NA	NA	NA
chr15	66800310	66800427	12	24	15	21	12	NA	NA	29	5	26	10
chr15	66801752	66801830	4	NA	NA	NA	NA	22	17	NA	NA	NA	NA
chr15	68759248	68759305	10	NA	NA	NA	NA	NA	NA	35	15	NA	NA
chr15	72968286	72968341	8	NA	NA	NA	NA	NA	NA	NA	NA	31	31
chr15	72970802	72970891	7	NA	NA	29	29	NA	NA	NA	NA	NA	NA
chr15	73526237	73526332	11	NA	NA	40	38	NA	NA	NA	NA	NA	NA
chr15	74583369	74583429	7	NA	NA	NA	NA	21	8	NA	NA	NA	NA
chr15	74786116	74786206	9	NA	NA	NA	NA	NA	NA	NA	NA	21	8
chr15	74917094	74917197	5	422	355	452	387	439	375	439	382	456	388
chr15	75562353	75562416	5	NA	NA	NA	NA	20	1	NA	NA	NA	NA
chr15	75577686	75577734	9	NA	NA	NA	NA	NA	NA	NA	NA	36	32
chr15	75672431	75672496	8	NA	NA	28	0	NA	NA	NA	NA	NA	NA
chr15	75724536	75724644	12	NA	NA	26	25	NA	NA	NA	NA	NA	NA
chr15	75935513	75935633	6	NA	NA	40	21	NA	NA	21	9	23	17
chr15	76003622	76003679	9	NA	NA	NA	NA	28	28	NA	NA	NA	NA
chr15	76030324	76030397	4	NA	NA	21	2	NA	NA	NA	NA	NA	NA
chr15	76077550	76077671	11	NA	NA	41	4	NA	NA	NA	NA	33	3
chr15	76157853	76157989	10	24	16	NA	NA	NA	NA	21	9	NA	NA
chr15	76161628	76161758	11	NA	NA	NA	NA	NA	NA	NA	NA	33	8
chr15	76307255	76307490	12	NA	NA	NA	NA	23	13	NA	NA	25	2
chr15	76350065	76350132	7	NA	NA	NA	NA	NA	NA	NA	NA	33	7
chr15	76369649	76369865	7	NA	NA	NA	NA	NA	NA	NA	NA	21	2
chr15	76406826	76406919	11	NA	NA	NA	NA	NA	NA	41	11	NA	NA
chr15	76425638	76425674	5	NA	NA	NA	NA	NA	NA	27	19	NA	NA
chr15	76470148	76470258	8	NA	NA	37	7	NA	NA	NA	NA	NA	NA
chr15	76490061	76490188	7	NA	NA	NA	NA	NA	NA	20	9	NA	NA
chr15	76553258	76553363	8	NA	NA	29	14	NA	NA	NA	NA	NA	NA
chr15	76554630	76554804	10	NA	NA	26	11	NA	NA	NA	NA	NA	NA
chr15	76555482	76555622	9	NA	NA	34	27	NA	NA	NA	NA	NA	NA
chr15	76647834	76648177	19	NA	NA	21	7	26	4	22	13	35	17
chr15	76779196	76779322	10	NA	NA	32	20	NA	NA	NA	NA	NA	NA
chr15	77514439	77514602	6	22	6	NA	NA	20	4	NA	NA	24	10
chr15	77678717	77678749	6	NA	NA	23	23	NA	NA	NA	NA	NA	NA
chr15	77948477	77948565	6	NA	NA	NA	NA	NA	NA	21	16	NA	NA
chr15	78679624	78679741	10	NA	NA	30	27	NA	NA	NA	NA	NA	NA
chr15	78859415	78859462	4	NA	NA	21	0	NA	NA	NA	NA	NA	NA
chr15	78994002	78994047	9	NA	NA	27	26	NA	NA	NA	NA	NA	NA
chr15	79082464	79082548	9	NA	NA	46	44	NA	NA	NA	NA	NA	NA
chr15	79091550	79091596	5	NA	NA	20	20	NA	NA	NA	NA	NA	NA
chr15	79187876	79187951	12	NA	NA	24	21	NA	NA	28	28	NA	NA
chr15	79324260	79324410	10	25	20	NA	NA	NA	NA	NA	NA	NA	NA
chr15	79347066	79347144	13	NA	NA	24	4	21	0	NA	NA	NA	NA
chr15	79376429	79376548	9	NA	NA	NA	NA	34	8	NA	NA	NA	NA
chr15	79520398	79520422	4	NA	NA	NA	NA	20	13	NA	NA	NA	NA
chr15	79763011	79763075	15	NA	NA	NA	NA	NA	NA	45	1	NA	NA
chr15	80502716	80502771	6	NA	NA	NA	NA	36	36	NA	NA	NA	NA
chr15	80878330	80878363	3	NA	NA	21	21	NA	NA	NA	NA	NA	NA
chr15	81191062	81191214	11	NA	NA	NA	NA	20	9	NA	NA	NA	NA
chr15	81688579	81688956	21	25	2	NA	NA	30	11	38	16	28	11
chr15	81846611	81846677	9	NA	NA	NA	NA	31	6	NA	NA	20	3
chr15	81896390	81896446	6	25	22	NA	NA	NA	NA	NA	NA	NA	NA
chr15	82729345	82729406	9	NA	NA	NA	NA	NA	NA	NA	NA	36	16
chr15	82817757	82817817	8	NA	NA	32	23	33	19	NA	NA	NA	NA
chr15	82818253	82818329	9	NA	NA	23	0	NA	NA	NA	NA	NA	NA
chr15	82978980	82979033	4	NA	NA	NA	NA	32	0	NA	NA	NA	NA
chr15	83081638	83081801	18	42	37	22	16	62	49	NA	NA	30	22
chr15	83610294	83610352	18	NA	NA	NA	NA	71	64	NA	NA	NA	NA
chr15	84388919	84388939	11	NA	NA	33	23	NA	NA	NA	NA	NA	NA
chr15	84754008	84754067	14	25	5	NA	NA	NA	NA	NA	NA	42	16
chr15	85566170	85566199	7	NA	NA	NA	NA	NA	NA	NA	NA	21	3
chr15	85651714	85651818	5	NA	NA	23	13	NA	NA	NA	NA	NA	NA
chr15	85734125	85734261	8	27	22	NA	NA	21	18	NA	NA	NA	NA
chr15	85881563	85881602	5	NA	NA	20	19	NA	NA	NA	NA	NA	NA
chr15	86769446	86769625	8	NA	NA	NA	NA	NA	NA	NA	NA	29	29
chr15	88075271	88075364	7	NA	NA	20	17	NA	NA	NA	NA	NA	NA
chr15	88492683	88492765	6	NA	NA	NA	NA	NA	NA	NA	NA	23	7
chr15	88721329	88721821	14	NA	NA	NA	NA	NA	NA	39	5	24	9
chr15	88897966	88898088	10	NA	NA	NA	NA	NA	NA	33	27	NA	NA
chr15	89145468	89145563	16	NA	NA	NA	NA	57	23	21	9	NA	NA
chr15	89285671	89285704	4	NA	NA	30	20	NA	NA	NA	NA	NA	NA
chr15	89288370	89288430	6	NA	NA	NA	NA	26	15	NA	NA	NA	NA
chr15	91257014	91257024	5	NA	NA	NA	NA	NA	NA	NA	NA	25	25
chr15	92183128	92183164	12	NA	NA	NA	NA	NA	NA	36	35	NA	NA
chr15	93105348	93105407	10	NA	NA	30	18	NA	NA	NA	NA	NA	NA
chr15	93228291	93228423	10	NA	NA	NA	NA	NA	NA	29	12	NA	NA
chr15	94420087	94420139	8	NA	NA	NA	NA	25	0	NA	NA	NA	NA
chr15	95358939	95359003	7	NA	NA	NA	NA	NA	NA	NA	NA	21	6
chr15	95598187	95598267	3	NA	NA	NA	NA	20	12	NA	NA	NA	NA
chr15	95621087	95621155	11	NA	NA	50	5	NA	NA	20	0	NA	NA
chr15	95653785	95653837	4	NA	NA	NA	NA	23	23	NA	NA	NA	NA
chr15	96290605	96290690	10	NA	NA	NA	NA	26	11	NA	NA	21	7
chr15	96472186	96472300	8	NA	NA	NA	NA	NA	NA	NA	NA	20	12
chr15	96524053	96524146	7	NA	NA	30	30	NA	NA	NA	NA	NA	NA
chr15	96528201	96528255	3	NA	NA	NA	NA	27	23	NA	NA	NA	NA
chr15	96529177	96529228	10	NA	NA	NA	NA	37	2	NA	NA	NA	NA
chr15	96597400	96597530	9	NA	NA	NA	NA	25	23	NA	NA	NA	NA
chr15	96886108	96886182	13	27	27	NA	NA	NA	NA	55	55	NA	NA
chr15	97421552	97421829	7	NA	NA	NA	NA	NA	NA	20	17	NA	NA
chr15	97655649	97655698	6	NA	NA	NA	NA	NA	NA	24	10	NA	NA
chr15	97948500	97948666	7	NA	NA	NA	NA	NA	NA	21	21	NA	NA
chr15	98011513	98011569	6	NA	NA	23	1	NA	NA	NA	NA	NA	NA
chr15	98398211	98398424	26	25	4	40	17	54	16	35	10	59	9
chr15	98462825	98462878	7	NA	NA	NA	NA	NA	NA	NA	NA	21	15
chr15	98492971	98493026	4	20	7	NA	NA	NA	NA	NA	NA	NA	NA
chr15	98493174	98493261	8	NA	NA	NA	NA	29	10	NA	NA	NA	NA
chr15	98702453	98702588	12	NA	NA	24	1	NA	NA	NA	NA	26	12
chr15	98724895	98724978	11	NA	NA	36	21	24	14	NA	NA	NA	NA
chr15	98747847	98748008	8	NA	NA	NA	NA	NA	NA	23	5	NA	NA
chr15	98835048	98835191	7	NA	NA	NA	NA	NA	NA	NA	NA	22	22
chr15	98885705	98885745	6	NA	NA	NA	NA	24	19	NA	NA	NA	NA
chr15	99082383	99082432	7	NA	NA	23	1	NA	NA	NA	NA	NA	NA
chr15	99481747	99481809	7	NA	NA	NA	NA	NA	NA	23	14	NA	NA
chr15	99555976	99556064	5	NA	NA	NA	NA	NA	NA	NA	NA	22	2
chr15	99802989	99803152	13	NA	NA	34	12	27	19	NA	NA	36	13
chr15	99803775	99803839	10	NA	NA	NA	NA	NA	NA	59	0	NA	NA
chr15	100058018	100058099	6	NA	NA	NA	NA	NA	NA	NA	NA	25	10
chr15	100253414	100253451	7	NA	NA	21	0	NA	NA	NA	NA	NA	NA
chr15	100273986	100274002	9	NA	NA	NA	NA	NA	NA	NA	NA	63	7
chr15	100382292	100382531	17	29	4	46	17	28	7	33	13	31	0
chr15	100599004	100599260	20	40	37	66	63	38	34	64	60	76	69
chr15	100766874	100766962	5	NA	NA	NA	NA	NA	NA	NA	NA	24	15
chr15	100870486	100870531	6	24	24	NA	NA	NA	NA	NA	NA	NA	NA
chr15	100884090	100884113	7	NA	NA	NA	NA	NA	NA	21	21	NA	NA
chr15	100908461	100908494	7	NA	NA	26	11	NA	NA	NA	NA	NA	NA
chr15	101054700	101054745	8	NA	NA	NA	NA	NA	NA	38	32	31	0
chr15	101114016	101114065	5	23	6	NA	NA	NA	NA	NA	NA	NA	NA
chr15	101114858	101114918	6	NA	NA	NA	NA	NA	NA	20	0	NA	NA
chr15	101309821	101309850	6	NA	NA	21	9	NA	NA	NA	NA	NA	NA
chr15	101834713	101834760	5	NA	NA	NA	NA	NA	NA	NA	NA	20	20
chr15	101975053	101975288	23	40	40	54	50	22	16	NA	NA	42	39
chr15	102077438	102077501	8	NA	NA	NA	NA	30	16	NA	NA	NA	NA
chr15	102162523	102162574	5	NA	NA	20	3	NA	NA	NA	NA	NA	NA
chr15	102180919	102180980	6	NA	NA	22	2	NA	NA	NA	NA	NA	NA
chr15	102230057	102230117	4	NA	NA	NA	NA	NA	NA	NA	NA	20	4
chr15	102301345	102301424	9	NA	NA	NA	NA	NA	NA	28	4	NA	NA
chr15	102341097	102341139	7	21	18	NA	NA	NA	NA	NA	NA	NA	NA
chr15	102757655	102757949	15	NA	NA	20	13	23	21	NA	NA	35	24
chr15	102784792	102784883	9	NA	NA	23	14	NA	NA	NA	NA	NA	NA
chr15	102785162	102785237	8	NA	NA	NA	NA	NA	NA	NA	NA	28	15
chr15	102785391	102785481	11	NA	NA	45	25	NA	NA	NA	NA	NA	NA
chr15	102797034	102797118	8	NA	NA	NA	NA	26	11	NA	NA	NA	NA
chr15	102826331	102826382	9	NA	NA	31	31	NA	NA	NA	NA	NA	NA
chr15	102841311	102841437	7	26	26	NA	NA	NA	NA	NA	NA	NA	NA
chr15	102857896	102857936	6	NA	NA	NA	NA	NA	NA	NA	NA	20	20
chr15	103196247	103196721	20	31	9	36	7	39	12	34	10	22	2
chr15	103242296	103242393	8	NA	NA	28	28	33	33	27	26	20	19
chr16	3872278	3872324	7	NA	NA	NA	NA	21	5	NA	NA	NA	NA
chr16	3884191	3884394	14	22	3	20	2	32	22	27	2	NA	NA
chr16	3909141	3909195	6	NA	NA	20	6	NA	NA	NA	NA	NA	NA
chr16	3974597	3974704	6	NA	NA	NA	NA	22	22	NA	NA	NA	NA
chr16	4003971	4004078	10	NA	NA	NA	NA	NA	NA	NA	NA	20	1
chr16	4017014	4017096	7	NA	NA	NA	NA	22	22	NA	NA	NA	NA
chr16	4077559	4077633	7	NA	NA	NA	NA	NA	NA	NA	NA	22	3
chr16	4213081	4213163	6	NA	NA	NA	NA	22	6	NA	NA	NA	NA
chr16	4549283	4549383	8	23	21	NA	NA	NA	NA	24	24	NA	NA
chr16	4559600	4559720	14	NA	NA	NA	NA	42	0	41	0	NA	NA
chr16	4790312	4790346	5	NA	NA	NA	NA	20	0	NA	NA	NA	NA
chr16	4879183	4879320	12	NA	NA	NA	NA	37	10	20	1	20	5
chr16	4879853	4879917	12	NA	NA	NA	NA	NA	NA	NA	NA	36	1
chr16	6695960	6696024	7	NA	NA	NA	NA	NA	NA	21	17	NA	NA
chr16	8513534	8513699	13	34	9	NA	NA	NA	NA	NA	NA	NA	NA
chr16	8637587	8637650	8	NA	NA	NA	NA	20	0	NA	NA	NA	NA
chr16	8672259	8672305	6	NA	NA	NA	NA	NA	NA	NA	NA	24	0
chr16	8738531	8738560	10	NA	NA	NA	NA	30	1	NA	NA	NA	NA
chr16	8829806	8829852	8	NA	NA	20	16	NA	NA	NA	NA	28	16
chr16	8830628	8830672	5	NA	NA	20	2	NA	NA	NA	NA	NA	NA
chr16	8831307	8831557	10	NA	NA	24	9	NA	NA	NA	NA	NA	NA
chr16	10992389	10992544	8	NA	NA	NA	NA	NA	NA	NA	NA	26	3
